"Date","Price","Source"
1994-03-15,NA,"EIA - US prices"
1994-04-15,1.107,"EIA - US prices"
1994-05-15,1.1,"EIA - US prices"
1994-06-15,1.103,"EIA - US prices"
1994-07-15,1.11,"EIA - US prices"
1994-08-15,1.123,"EIA - US prices"
1994-09-15,1.125,"EIA - US prices"
1994-10-15,1.122,"EIA - US prices"
1994-11-15,1.131,"EIA - US prices"
1994-12-15,1.113,"EIA - US prices"
1995-01-15,1.098,"EIA - US prices"
1995-02-15,1.088,"EIA - US prices"
1995-03-15,1.088,"EIA - US prices"
1995-04-15,1.104,"EIA - US prices"
1995-05-15,1.126,"EIA - US prices"
1995-06-15,1.12,"EIA - US prices"
1995-07-15,1.1,"EIA - US prices"
1995-08-15,1.105,"EIA - US prices"
1995-09-15,1.119,"EIA - US prices"
1995-10-15,1.115,"EIA - US prices"
1995-11-15,1.12,"EIA - US prices"
1995-12-15,1.13,"EIA - US prices"
1996-01-15,1.145,"EIA - US prices"
1996-02-15,1.145,"EIA - US prices"
1996-03-15,1.183,"EIA - US prices"
1996-04-15,1.275,"EIA - US prices"
1996-05-15,1.273,"EIA - US prices"
1996-06-15,1.201,"EIA - US prices"
1996-07-15,1.176,"EIA - US prices"
1996-08-15,1.201,"EIA - US prices"
1996-09-15,1.265,"EIA - US prices"
1996-10-15,1.323,"EIA - US prices"
1996-11-15,1.323,"EIA - US prices"
1996-12-15,1.309,"EIA - US prices"
1997-01-15,1.291,"EIA - US prices"
1997-02-15,1.28,"EIA - US prices"
1997-03-15,1.229,"EIA - US prices"
1997-04-15,1.212,"EIA - US prices"
1997-05-15,1.196,"EIA - US prices"
1997-06-15,1.173,"EIA - US prices"
1997-07-15,1.151,"EIA - US prices"
1997-08-15,1.165,"EIA - US prices"
1997-09-15,1.16,"EIA - US prices"
1997-10-15,1.183,"EIA - US prices"
1997-11-15,1.192,"EIA - US prices"
1997-12-15,1.166,"EIA - US prices"
1998-01-15,1.12,"EIA - US prices"
1998-02-15,1.084,"EIA - US prices"
1998-03-15,1.063,"EIA - US prices"
1998-04-15,1.067,"EIA - US prices"
1998-05-15,1.069,"EIA - US prices"
1998-06-15,1.041,"EIA - US prices"
1998-07-15,1.029,"EIA - US prices"
1998-08-15,1.007,"EIA - US prices"
1998-09-15,1.024,"EIA - US prices"
1998-10-15,1.039,"EIA - US prices"
1998-11-15,1.022,"EIA - US prices"
1998-12-15,0.973,"EIA - US prices"
1999-01-15,0.967,"EIA - US prices"
1999-02-15,0.959,"EIA - US prices"
1999-03-15,0.997,"EIA - US prices"
1999-04-15,1.079,"EIA - US prices"
1999-05-15,1.073,"EIA - US prices"
1999-06-15,1.074,"EIA - US prices"
1999-07-15,1.122,"EIA - US prices"
1999-08-15,1.172,"EIA - US prices"
1999-09-15,1.215,"EIA - US prices"
1999-10-15,1.228,"EIA - US prices"
1999-11-15,1.263,"EIA - US prices"
1999-12-15,1.292,"EIA - US prices"
2000-01-15,1.356,"EIA - US prices"
2000-02-15,1.461,"EIA - US prices"
2000-03-15,1.479,"EIA - US prices"
2000-04-15,1.422,"EIA - US prices"
2000-05-15,1.42,"EIA - US prices"
2000-06-15,1.421,"EIA - US prices"
2000-07-15,1.434,"EIA - US prices"
2000-08-15,1.466,"EIA - US prices"
2000-09-15,1.637,"EIA - US prices"
