DateTime,Level
1/1/1958,2.4
1/1/1959,2.3
1/1/1960,2.2
1/1/1961,2.6
1/1/1962,2.9
1/1/1963,2.6
1/1/1964,2.9
1/1/1965,3.4
1/1/1966,3.4
1/1/1967,3.5
1/1/1968,3.7
1/1/1969,4.2
1/1/1970,5.1
1/1/1971,5.7
1/1/1972,6.6
1/1/1973,7
1/1/1974,7.5
1/1/1975,7.2
1/1/1976,10.4
1/1/1977,11.6
1/1/1978,12.6
1/1/1979,15.6
1/1/1980,18.4
1/1/1981,19.2
1/1/1982,15
1/1/1983,16.8
1/1/1984,19.8
1/1/1985,19.6
1/1/1986,27.9
1/1/1987,36.4
1/1/1988,40
1/1/1989,43.9
1/1/1990,48.9
1/1/1991,53.3
1/1/1992,51.6
1/1/1993,52.8
1/1/1994,51.2
1/1/1995,54.5
1/1/1996,55.3
1/1/1997,59.8
1/1/1998,43.1
1/1/1999,45.5
1/1/2000,48.7
1/1/2001,45.1
1/1/2002,44.9
1/1/2003,42.8
1/1/2004,36.6
1/1/2005,32.9
1/1/2006,39.5
1/1/2007,29.2
1/1/2008,32.9
1/1/2009,38.7
1/1/2010,48.6
1/1/2011,54.9
1/1/2012,64.2
1/1/2013,68.1
1/1/2014,69.9
1/1/2015,81.1
1/1/2016,86.5
1/1/2017,91.6
1/1/2018,85.1
1/1/2019,82.7
1/1/2020,84.9
1/1/2021,116.2
