DateTime,Level,YOY % Change
1/1/1940,427.9,
1/1/1941,459.3,7.4
1/1/1942,582,26.7
1/1/1943,649.7,11.6
1/1/1944,858.9,32.2
1/1/1945,814.6,-5.2
1/1/1946,545.4,-33
1/1/1947,526.2,-3.5
1/1/1948,517,-1.8
1/1/1949,511,-1.2
1/1/1950,498,-2.6
1/1/1951,514.3,3.3
1/1/1952,517.4,0.6
1/1/1953,509.9,-1.4
1/1/1954,505.5,-0.9
1/1/1955,539.3,6.7
1/1/1956,558.6,3.6
1/1/1957,584.5,4.6
1/1/1958,605.4,3.6
1/1/1959,622.1,2.8
1/1/1960,641.5,3.1
1/1/1961,658.7,2.7
1/1/1962,683.5,3.8
1/1/1963,682.2,-0.2
1/1/1964,699.9,2.6
1/1/1965,703.8,0.6
1/1/1966,710.3,0.9
1/1/1967,722.5,1.7
1/1/1968,734.5,1.7
1/1/1969,750.2,2.1
1/1/1970,771.6,2.8
1/1/1971,801.6,3.9
1/1/1972,828.3,3.3
1/1/1973,851.6,2.8
1/1/1974,868,1.9
1/1/1975,886.2,2.1
1/1/1976,904.2,2
1/1/1977,918.3,1.6
1/1/1978,931.6,1.4
1/1/1979,953.3,2.3
1/1/1980,968.5,1.6
1/1/1981,978.2,1
1/1/1982,993.8,1.6
1/1/1983,1012.7,1.9
1/1/1984,1027.9,1.5
1/1/1985,1039.7,1.1
1/1/1986,1051.8,1.2
1/1/1987,1067.9,1.5
1/1/1988,1079.8,1.1
1/1/1989,1094.6,1.4
1/1/1990,1113.5,1.7
1/1/1991,1136.8,2.1
1/1/1992,1158.6,1.9
1/1/1993,1172.8,1.2
1/1/1994,1187.5,1.3
1/1/1995,1196.9,0.8
1/1/1996,1203.8,0.6
1/1/1997,1211.6,0.7
1/1/1998,1215.2,0.3
1/1/1999,1210.3,-0.4
1/1/2000,1213.5,0.3
1/1/2001,1225.9,1
1/1/2002,1239.6,1.1
1/1/2003,1251.2,0.9
1/1/2004,1273.6,1.8
1/1/2005,1292.7,1.5
1/1/2006,1309.7,1.3
1/1/2007,1315.7,0.5
1/1/2008,1332.2,1.3
1/1/2009,1346.7,1.1
1/1/2010,1364,1.3
1/1/2011,1380.8,1.2
1/1/2012,1401.3,1.5
1/1/2013,1419.7,1.3
1/1/2014,1431.1,0.8
1/1/2015,1443.6,0.9
1/1/2016,1454.4,0.7
1/1/2017,1456.1,0.1
1/1/2018,1458.3,0.2
1/1/2019,1455.7,-0.2
1/1/2020,1451.9,-0.3
1/1/2021,1441.6,-0.7
