DateTime,Level,YOY % Change
1/1/1975,2829.1,
1/1/1976,3220.2,13.8
1/1/1977,3433.7,6.6
1/1/1978,3670.3,6.9
1/1/1979,3960.5,7.9
1/1/1980,3934.5,-0.7
1/1/1981,3934.6,0
1/1/1982,4243,7.8
1/1/1983,4368.1,3
1/1/1984,4855.6,11.2
1/1/1985,4884.1,0.6
1/1/1986,5607,14.8
1/1/1987,5799.8,3.4
1/1/1988,6142.4,5.9
1/1/1989,6488.4,5.6
1/1/1990,6723.5,3.6
1/1/1991,6518.5,-3.1
1/1/1992,6473.7,-0.7
1/1/1993,6071,-6.2
1/1/1994,6364.7,4.8
1/1/1995,6546.8,2.9
1/1/1996,6723.1,2.7
1/1/1997,6761.1,0.6
1/1/1998,6595.8,-2.4
1/1/1999,6779,2.8
1/1/2000,6987.4,3.1
1/1/2001,6350.4,-9.1
1/1/2002,6452.3,1.6
1/1/2003,6441.5,-0.2
1/1/2004,6991.9,8.5
1/1/2005,7494.2,7.2
1/1/2006,7624,1.7
1/1/2007,7626.7,0
1/1/2008,6818,-10.6
1/1/2009,6516.5,-4.4
1/1/2010,7017.6,7.7
1/1/2011,7298.4,4
1/1/2012,8028,10
1/1/2013,8174.5,1.8
1/1/2014,8320.8,1.8
1/1/2015,8679.2,4.3
1/1/2016,8933,2.9
1/1/2017,9404.3,5.3
1/1/2018,9888.8,5.2
1/1/2019,10385.8,5
1/1/2020,2708.3,-73.9
1/1/2021,6777,150.2
