DateTime,Level,YOY Change
1/1/1976,9.2,
1/1/1977,7.6,-1.6
1/1/1978,7,-0.7
1/1/1979,5.7,-1.2
1/1/1980,5,-0.7
1/1/1981,5.2,0.2
1/1/1982,6.1,1
1/1/1983,5.9,-0.2
1/1/1984,5.4,-0.5
1/1/1985,5.2,-0.2
1/1/1986,4.7,-0.6
1/1/1987,3.7,-1
1/1/1988,3.1,-0.6
1/1/1989,2.5,-0.6
1/1/1990,2.6,0.1
1/1/1991,2.8,0.2
1/1/1992,4.1,1.3
1/1/1993,4.4,0.2
1/1/1994,5.2,0.8
1/1/1995,5.5,0.3
1/1/1996,5.9,0.4
1/1/1997,5.9,0
1/1/1998,5.8,-0.1
1/1/1999,5.2,-0.6
1/1/2000,4.2,-1
1/1/2001,4.3,0
1/1/2002,4,-0.2
1/1/2003,3.9,-0.1
1/1/2004,3.3,-0.6
1/1/2005,2.8,-0.5
1/1/2006,2.6,-0.3
1/1/2007,2.7,0.2
1/1/2008,4,1.3
1/1/2009,6.7,2.6
1/1/2010,6.8,0.2
1/1/2011,6.8,0
1/1/2012,5.9,-0.9
1/1/2013,4.8,-1.2
1/1/2014,4.2,-0.5
1/1/2015,3.4,-0.8
1/1/2016,2.9,-0.5
1/1/2017,2.2,-0.7
1/1/2018,2.3,0.1
1/1/2019,2.4,0.1
1/1/2020,12,9.6
1/1/2021,5.8,-6.2
