Year,No. License,Trips,No. Reports,No. Caught,Lbs. Caught
1965,84,1149,428,14611,211326
1966,92,1059,414,11040,181868
1967,110,1469,550,16005,231315
1968,121,1194,524,12945,195039
1969,132,1216,532,11415,177495
1970,139,1150,528,8482,158195
1971,167,1254,606,10203,135156
1972,218,1929,831,19833,228375
1973,210,1574,732,16747,169273
1974,264,2163,938,23976,225767
1975,247,2096,904,24165,222114
1976,308,2321,1011,26364,258852
1977,338,2722,1173,26880,274308
1978,434,2657,1539,41381,307628
1979,447,2256,1517,32312,273841
1980,461,2861,1435,35098,244075
1981,486,3770,1637,45086,308306
1982,450,3909,1630,46873,329436
1983,538,4880,1892,61889,409453
1984,555,4483,1806,55952,345326
1985,556,5812,2065,93799,507639
1986,610,5823,2285,101469,524726
1987,586,5591,2194,133023,596255
1988,553,6058,2135,138109,575345
1989,569,6327,2252,122033,575616
1990,531,5258,1948,90745,459215
1991,499,4216,1770,67666,331144
1992,488,4511,1845,84427,362517
1993,450,3538,1492,62434,260350
1994,522,3893,1705,85112,317989
1995,526,3919,1711,77776,319940
1996,518,3980,1745,81391,287138
1997,500,4181,1760,81594,297678
1998,522,4118,1735,83482,288315
1999,433,3012,1431,56755,214180
2000,498,3935,1700,83429,308128
2001,458,3570,1550,70812,262874
2002,393,2920,1355,56438,217231
2003,364,2959,1255,63311,248463
2004,333,2669,1145,57588,209475
2005,352,2705,1200,61406,241173
2006,352,2287,1053,46154,193191
2007,357,2553,1148,50008,204862
2008,351,2354,1027,49397,196347
2009,478,3283,1479,67065,259356
2010,461,2804,1229,56942,209277
2011,474,3490,1432,74886,274571
2012,480,3108,1529,68024,227971
2013,459,2990,1501,68441,239010
2014,423,3182,1496,90296,311209
2015,411,2890,1415,90790,307014
2016,372,2348,1194,74536,260732
2017,340,2351,1162,66483,237879
2018,341,2169,1102,59332,236119
2019,318,2023,1045,47879,181125
2020,334,1843,1000,45903,161713
2021,320,2092,1042,52050,164171
