DateTime,Level
1/1/1976,59.7
1/1/1977,62.8
1/1/1978,69
1/1/1979,77.6
1/1/1980,84.3
1/1/1981,92.6
1/1/1982,96.9
1/1/1983,99.5
1/1/1984,103.6
1/1/1985,107.8
1/1/1986,110
1/1/1987,114.2
1/1/1988,120.3
1/1/1989,128.1
1/1/1990,137.8
1/1/1991,145.9
1/1/1992,148.5
1/1/1993,152.9
1/1/1994,153.5
1/1/1995,156.8
1/1/1996,156.6
1/1/1997,159.2
1/1/1998,159.1
1/1/1999,163
1/1/2000,164.8
1/1/2001,169.5
1/1/2002,172
1/1/2003,174.9
1/1/2004,180.2
1/1/2005,185.9
1/1/2006,194.2
1/1/2007,204.9
1/1/2008,216.6
1/1/2009,224.3
1/1/2010,224.8
1/1/2011,232.7
1/1/2012,242.8
1/1/2013,250.9
1/1/2014,256
1/1/2015,267
1/1/2016,272.1
1/1/2017,277.3
1/1/2018,281.8
1/1/2019,287.6
1/1/2020,301.4
1/1/2021,312.6
